"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"SDBL","Som Distilleries & Breweries Limited","7(2)","DEEPAK ARORA","Promoters","Equity Shares","2922525","1.5",,"20000","2470548","Buy","Equity Shares","2942525","1.51","12-Jun-2024","12-Jun-2024","13-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","13-Jun-2024 11:37","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165771_1157044_13062024113746_WEB.xml"
"NAHARPOLY","Nahar Poly Films Limited","7(2)","NAHAR SPINNING MILLS LIMITED","Promoter Group","Equity Shares","4528223","18.42",,"17295","3459654","Buy","Equity Shares","4545518","18.49","11-Jun-2024","12-Jun-2024","13-Jun-2024","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","13-Jun-2024 11:37","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165770_1157042_13062024113659_WEB.xml"
"FIDEL","Fidel Softech Limited","7(2)","PRACHI SUNIL KULKARNI","Promoters","Equity Shares","2406000","17.5",,"1000","103400","Buy","Equity Shares","2407000","17.5","12-Jun-2024","12-Jun-2024","13-Jun-2024","Market Purchase","-","-","0","0","0","0","MSEI","-","13-Jun-2024 11:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165769_1157031_13062024111843_WEB.xml"
"POLYCAB","Polycab India Limited","7(2)","Puneet Anil Sehgal","Immediate relative","Equity Shares","140000","0.09",,"60000","0","Buy","Equity Shares","200000","0.13","07-Jun-2024","07-Jun-2024","11-Jun-2024","Gift","-","-","0","0","0","0","NA","-","13-Jun-2024 11:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165768_1157029_13062024111807_WEB.xml"
"BANSWRAS","Banswara Syntex Limited","7(2)","UDIT TOSHNIWAL","Promoter Group","Equity Shares","92516","0.27",,"8000","1163474","Sell","Equity Shares","84516","0.25","07-Jun-2024","07-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","BSE,NSE","-","13-Jun-2024 09:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165759_1156983_13062024091545_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","A. Pramod Kumar","Employees/Designated Employees","Equity Shares","165304","0.05",,"2519","1997645","Sell","Equity Shares","162785","0.05","11-Jun-2024","12-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 20:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165757_1156929_12062024083312_WEB.xml"
"THYROCARE","Thyrocare Technologies Limited","7(2)","Alok Kumar Jagnani","Key Managerial Personnel","Equity Shares","175","0",,"175","109550","Sell","Equity Shares","Nil","0","23-May-2024","23-May-2024","24-May-2024","Market Sale","-","-","0","0","0","0","BSE","-","12-Jun-2024 20:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165756_1156919_12062024080232_WEB.xml"
"THYROCARE","Thyrocare Technologies Limited","7(2)","Alok Kumar Jagnani","Key Managerial Personnel","Equity Shares","Nil","0",,"175","100275","Buy","Equity Shares","175","0","11-Aug-2023","11-Aug-2023","14-Aug-2023","Market Purchase","-","-","0","0","0","0","NSE","-","12-Jun-2024 20:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165755_1156917_12062024080103_WEB.xml"
"MWL","Mangalam Worldwide Limited","7(2)","OM PRAKASH MANGAL","Promoter Group","Equity Shares","457400","1.76",,"45600","6526620","Sell","Equity Shares","411800","1.58","10-Jun-2024","11-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 19:19","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165754_1156891_12062024071919_WEB.xml"
"THOMASCOOK","Thomas Cook  (India)  Limited","7(2)","Amit Baraskar","Employees/Designated Employees","Equity Shares","Nil","0",,"3500","482755","Buy","Equity Shares","3500","0","02-May-2024","02-May-2024","11-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165752_1156888_12062024071806_WEB.xml"
