"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME","DISSEMINATION","DIFFERENCE"
"IRB","IRB Infrastructure Developers Limited","Cintra INR Investments B V","11-JUN-2024 to 11-JUN-2024",,"301950000","1199642120","Reg29(2)","12-Jun-2024, 20-49","12-Jun-2024 20:51","00:02:02"
"ITDCEM","ITD Cementation India Limited","MASSACHUSETTS INSTITUTE OF TECHNOLOGY ALONG WITH PAC","11-JUN-2024 to 11-JUN-2024",,"250000","10172000","Reg29(2)","12-Jun-2024, 20-49","12-Jun-2024 20:49","00:00:57"
"RPPL","Rajshree Polypack Limited","Ramswaroop Radheshyam Thard alongwith PAC","11-JUN-2024 to 11-JUN-2024",,"25000","5841574","Reg29(2)","12-Jun-2024, 20-48","12-Jun-2024 20:49","00:01:53"
"USHAMART","Usha Martin Limited","Nidhi Rajgarhia","11-JUN-2024 to 11-JUN-2024",,"2000","269000","Reg29(2)","12-Jun-2024, 20-47","12-Jun-2024 20:47","00:00:48"
"TCNSBRANDS","TCNS Clothing Co. Limited","TA FDI Investors Ltd","11-JUN-2024 to 12-JUN-2024",,"1860000","8082539","Reg29(2)","12-Jun-2024, 19-40","12-Jun-2024 19:41","00:00:60"
"ROHLTD","Royal Orchid Hotels Limited","Mr. Chander k baljee","11-JUN-2024 to 11-JUN-2024","12149",,"10768744","Reg29(2)","12-Jun-2024, 19-39","12-Jun-2024 19:41","00:01:58"
"CIGNITITEC","Cigniti Technologies Limited","RAJASTHAN GLOBAL SECURITIES PRIVATE LIMITED","12-JUN-2024 to 12-JUN-2024","100779",,"1943331","Reg29(2)","12-Jun-2024, 19-39","12-Jun-2024 19:39","00:00:56"
"MWL","Mangalam Worldwide Limited","Omprakash Mangal","10-JUN-2024 to 11-JUN-2024",,"45600","411800","Reg29(2)","12-Jun-2024, 19-38","12-Jun-2024 19:39","00:01:47"
"AGARWALFT","Agarwal Float Glass India Limited","Uma Shankar Agarwal","11-JUN-2024 to 11-JUN-2024",,"39000","4817473","Reg29(2)","12-Jun-2024, 19-37","12-Jun-2024 19:37","00:00:47"
"MSPL","MSP Steel & Power Limited","Procheta Consultants Private ltd","06-JUN-2024 to 06-JUN-2024","11555000",,"11555000","Reg29(2)","12-Jun-2024, 19-36","12-Jun-2024 19:37","00:01:38"
"JSLL","Jeena Sikho Lifecare Limited","Mr. Manish Grover & Bhavna Grover","07-JUN-2024 to 07-JUN-2024",,"514440","16350408","Reg29(2)","12-Jun-2024, 19-35","12-Jun-2024 19:35","00:00:31"
"ACLGATI","Allcargo Gati Limited","Equity Intelligence India Pvt Ltd","10-JUN-2024 to 10-JUN-2024",,"877806","3776120","Reg29(2)","12-Jun-2024, 19-34","12-Jun-2024 19:35","00:01:25"
"NCLIND","NCL Industries Limited","NCL Buildtek ltd","10-JUN-2024 to 10-JUN-2024","438744",,"438744","Reg29(2)","12-Jun-2024, 19-33","12-Jun-2024 19:33","00:00:18"
"JASH","Jash Engineering Limited","Rhutvik Patel","10-JUN-2024 to 11-JUN-2024",,"1795","16963","Reg29(2)","12-Jun-2024, 16-35","12-Jun-2024 16:35","00:00:34"
"USHAMART","Usha Martin Limited","Peterhouse Investments India Ltd","11-JUN-2024 to 11-JUN-2024",,"200000","13916529","Reg29(2)","12-Jun-2024, 16-34","12-Jun-2024 16:35","00:01:26"
"BAJAJELEC","Bajaj Electricals Limited","Norges Bank","04-JUN-2024 to 04-JUN-2024",,"82000","3772939","Reg29(2)","12-Jun-2024, 16-33","12-Jun-2024 16:33","00:00:24"
"MPHASIS","MphasiS Limited","DB International Trust Limited","10-JUN-2024 to 10-JUN-2024",,"28500000","76382441","Reg29(2)","12-Jun-2024, 16-32","12-Jun-2024 16:33","00:01:12"
"BCLIND","Bcl Industries Limited","Sara Garg","04-JUN-2024 to 04-JUN-2024","4000000",,"6000000","Reg29(2)","12-Jun-2024, 16-31","12-Jun-2024 16:31","00:00:10"
"STEELCITY","Steel City Securities Limited","Kamireddi Satyanarayana","10-JUN-2024 to 10-JUN-2024","2000",,"1256446","Reg29(2)","12-Jun-2024, 16-30","12-Jun-2024 16:31","00:01:05"
"ADVENZYMES","Advanced Enzyme Technologies Limited","Advanced Vital Enzymes Private Limited","10-JUN-2024 to 10-JUN-2024",,"77000","355600","Reg29(2)","12-Jun-2024, 16-29","12-Jun-2024 16:29","00:00:08"
"KCEIL","Kay Cee Energy & Infra Limited","Priyanshu Jain","10-JUN-2024 to 10-JUN-2024","500",,"8000","Reg29(2)","12-Jun-2024, 16-28","12-Jun-2024 16:29","00:00:59"
"NCLIND","NCL Industries Limited","Penmetsa Narasimha Raju","14-MAY-2024 to 14-MAY-2024",,"30000","785010","Reg29(2)","12-Jun-2024, 16-28","12-Jun-2024 16:29","00:01:51"
"VAISHALI","Vaishali Pharma Limited","JAGRUTI ATUL VASANI","07-JUN-2024 to 07-JUN-2024","200000",,"679992","Reg29(2)","12-Jun-2024, 16-27","12-Jun-2024 16:27","00:00:49"
"INDIGO","InterGlobe Aviation Limited","InterGlobe Enterprises Private Limited alongwith PAC","11-JUN-2024 to 11-JUN-2024",,"7719573","137987201","Reg29(2)","12-Jun-2024, 16-26","12-Jun-2024 16:27","00:01:40"
"GRMOVER","GRM Overseas Limited","Atul Garg alongwith PAC","10-JUN-2024 to 10-JUN-2024","73000",,"43371984","Reg29(2)","12-Jun-2024, 16-25","12-Jun-2024 16:25","00:00:37"
"LUMAXTECH","Lumax Auto Technologies Limited","DSP Trustee Private Limited on behalf of schemes of DSP Mutual Fund (Buyer)","07-JUN-2024 to 07-JUN-2024","41514",,"6418378","Reg29(2)","12-Jun-2024, 16-24","12-Jun-2024 16:25","00:01:32"
"KCEIL","Kay Cee Energy & Infra Limited","PRJYANSHU JAIN","10-JUN-2024 to 10-JUN-2024","500",,"8000","Reg29(2)","11-Jun-2024, 20-16","11-Jun-2024 20:17","00:01:21"
"KCEIL","Kay Cee Energy & Infra Limited","Khushboo Gandhi","10-JUN-2024 to 10-JUN-2024","500",,"500","Reg29(2)","11-Jun-2024, 20-15","11-Jun-2024 20:15","00:00:16"
"SKIL","SKIL Infrastructure Limited","Dilip Madhavji Thakkar","10-JUN-2024 to 10-JUN-2024","111006",,"16834129","Reg29(2)","11-Jun-2024, 20-14","11-Jun-2024 20:15","00:01:14"
"INDIGO","InterGlobe Aviation Limited","InterGlobe Enterprises Pvt Ltd","11-JUN-2024 to 11-JUN-2024",,"7719573","137987201","Reg29(2)","11-Jun-2024, 20-13","11-Jun-2024 20:13","00:00:10"
"NIBL","NRB Industrial Bearings Limited","Jasmine Sahney","11-JUN-2024 to 11-JUN-2024",,"2000","241447","Reg29(2)","11-Jun-2024, 20-12","11-Jun-2024 20:13","00:01:01"
"NIBL","NRB Industrial Bearings Limited","Anjana Milind Thakker","11-JUN-2024 to 11-JUN-2024",,"2000","303506","Reg29(2)","11-Jun-2024, 20-11","11-Jun-2024 20:13","00:01:56"
"JSLL","Jeena Sikho Lifecare Limited","Mr. Manish Grover & Bhavna Grover","07-JUN-2024 to 07-JUN-2024",,"514440","16350408","Reg29(2)","11-Jun-2024, 20-10","11-Jun-2024 20:11","00:00:57"
"RPPL","Rajshree Polypack Limited","Ramswaroop Radheshyam Thard alongwith PAC","10-JUN-2024 to 10-JUN-2024",,"75000","5866574","Reg29(2)","11-Jun-2024, 20-10","11-Jun-2024 20:11","00:01:48"
"AKSHOPTFBR","Aksh Optifibre Limited","Dr. Kailash Shantilal  Choudhari","07-JUN-2024 to 10-JUN-2024",,"246159","17061232","Reg29(2)","11-Jun-2024, 20-09","11-Jun-2024 20:09","00:00:47"
"ASHOKAMET","Ashoka Metcast Limited","Aarem Insights Private Ltd","06-JUN-2024 to 11-JUN-2024",,"953478","681200","Reg29(2)","11-Jun-2024, 20-08","11-Jun-2024 20:09","00:01:42"
"RPPL","Rajshree Polypack Limited","Naresh Radheshyam Thard.","07-JUN-2024 to 10-JUN-2024",,"75000","4788589","Reg29(2)","11-Jun-2024, 20-07","11-Jun-2024 20:07","00:00:42"
"MTARTECH","Mtar Technologies Limited","Mitta Madhavi","10-JUN-2024 to 10-JUN-2024","225000",,"1430983","Reg29(2)","11-Jun-2024, 20-06","11-Jun-2024 20:07","00:01:35"
"SPYL","Shekhawati Poly-Yarn Limited","SKI Buildcon Private Limited","11-JUN-2024 to 11-JUN-2024","266217",,"34000000","Reg29(2)","11-Jun-2024, 17-07","11-Jun-2024 17:07","00:00:41"
"AGARWALFT","Agarwal Float Glass India Limited","Uma Shankar Agarwal","10-JUN-2024 to 10-JUN-2024",,"39000","4856473","Reg29(2)","11-Jun-2024, 17-06","11-Jun-2024 17:07","00:01:36"
"PASHUPATI","Pashupati Cotspin Limited","Pashupati Texspin Export LLp","10-JUN-2024 to 10-JUN-2024",,"68800","884000","Reg29(2)","11-Jun-2024, 17-05","11-Jun-2024 17:05","00:00:33"
