"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"20 Microns Limited","35286502","15860521","    44.95","19425981","0","     0.00","     0.00","0","12-Jun-2024 11:30:34","2931432","35278227","8.31","42.125","12-Jun-2024 11:30:34"
"21st Century Management Services Limited","10500000","6746687","    64.25","3753313","0","     0.00","     0.00",,"12-Jun-2024 11:30:16","79138","10191972","0.78",,"12-Jun-2024 11:30:16"
"360 ONE WAM LIMITED","358862640","63708642","    17.75","295153998","19940804","    31.30","     5.56","1347.201","12-Jun-2024 11:30:41","4203591","361120326","1.16","283.995","12-Jun-2024 11:30:41"
"3M India Limited","11265070","8448802","    75.00","2816268","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","138437","11224139","1.23","431.831","12-Jun-2024 11:30:17"
"3P Land Holdings Limited","18000000","13194158","    73.30","4805842","0","     0.00","     0.00",,"12-Jun-2024 11:30:13","54209","17681925","0.31",,"12-Jun-2024 11:30:13"
"63 moons technologies limited","46078537","21025878","    45.63","25052659","0","     0.00","     0.00","0","12-Jun-2024 11:30:27","1169670","46031622","2.54","44.635","12-Jun-2024 11:30:27"
"A2Z Infra Engineering Limited","176119858","49560983","    28.14","126558875","49402301","    99.68","    28.05",,"12-Jun-2024 11:30:36","54766454","176115041","31.1",,"12-Jun-2024 11:30:36"
"ABB India Limited","211908375","158931281","    75.00","52977094","0","     0.00","     0.00","0","12-Jun-2024 11:30:14","834232","210916588","0.4","530.642","12-Jun-2024 11:30:14"
"ACC Limited","187787263","106456927","    56.69","81330336","0","     0.00","     0.00","0","12-Jun-2024 11:30:07","1274482","185555387","0.69","317.563","12-Jun-2024 11:30:07"
"ADF Foods Limited","109863595","40009565","    36.42","69854030","3076190","     7.69","     2.80","56.894","12-Jun-2024 11:30:36","13199172","107902090","12.23","244.119","12-Jun-2024 11:30:36"
"AGS Transact Technologies Limited","121403076","79932414","    65.84","41470662","7155000","     8.95","     5.89",,"12-Jun-2024 11:30:42","12612184","121402895","10.39",,"12-Jun-2024 11:30:42"
"AIA Engineering Limited","94320370","55148921","    58.47","39171449","0","     0.00","     0.00","0","12-Jun-2024 11:30:28","211409","94320355","0.22","82.772","12-Jun-2024 11:30:28"
"AION-TECH SOLUTIONS LIMITED","34582066","18634698","    53.89","15947368","0","     0.00","     0.00","0","12-Jun-2024 11:30:24","1674813","34439137","4.86","21.161","12-Jun-2024 11:30:24"
"AJR INFRA AND TOLLING LIMITED","941830724","193999800","    20.60","747830924","193999800","   100.00","    20.60",,"12-Jun-2024 11:30:34","121178683","941827508","12.87",,"12-Jun-2024 11:30:34"
