"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Bcl Industries Limited","59.47","40.53","0","-","12-JUN-2024","12-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188539_1156625_12062024040737_WEB.xml","12-JUN-2024 16:07:38","12-JUN-2024 16:09:56","00:02:18"
"Ajooni Biotech Limited","26.89","73.11","0","-","06-JUN-2024","11-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188530_1156017_11062024031036_WEB.xml","11-JUN-2024 15:10:37","11-JUN-2024 15:14:55","00:04:18"
"Bcl Industries Limited","57.91","42.09","0","-","04-JUN-2024","05-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188504_1153195_05062024015718_WEB.xml","05-JUN-2024 13:57:19","05-JUN-2024 14:00:09","00:02:50"
"Apollo Micro Systems Limited","55.12","44.88","0","-","03-JUN-2024","10-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188526_1155549_10062024042040_WEB.xml","10-JUN-2024 16:20:41","10-JUN-2024 16:24:56","00:04:15"
"Ami Organics Limited","39.07","60.93","0","-","31-MAY-2024","05-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188514_1153919_05062024105914_WEB.xml","05-JUN-2024 22:59:15","05-JUN-2024 23:00:10","00:00:55"
"Indiabulls Real Estate Limited","0","99.91","0.09","-","31-MAY-2024","06-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188518_1154315_06062024051009_WEB.xml","06-JUN-2024 17:10:09","06-JUN-2024 17:15:09","00:05:00"
"Jyoti Structures Limited","0","100","0","-","29-MAY-2024","01-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188478_1151693_01062024050231_WEB.xml","01-JUN-2024 17:02:33","01-JUN-2024 17:05:08","00:02:35"
"S&S Power Switchgears Limited","74.97","25.03","0","-","29-MAY-2024","03-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188485_1152289_03062024065529_WEB.xml","03-JUN-2024 18:55:30","03-JUN-2024 19:00:09","00:04:39"
"Coforge Limited","0","100","0","-","28-MAY-2024","05-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188502_1153117_05062024121315_WEB.xml","05-JUN-2024 12:13:16","05-JUN-2024 12:15:09","00:01:53"
"Inox Wind Limited","52.87","47.13","0","-","27-MAY-2024","03-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188483_1152161_03062024053721_WEB.xml","03-JUN-2024 17:37:22","03-JUN-2024 17:40:09","00:02:47"
"SPML Infra Limited","36.13","63.87","0","-","23-MAY-2024","27-MAY-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188467_1140953_27052024111217_WEB.xml","27-MAY-2024 23:12:18","27-MAY-2024 23:15:07","00:02:49"
"Vipul Limited","51.51","48.49","0","-","23-MAY-2024","03-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188481_1152023_03062024031639_WEB.xml","03-JUN-2024 15:16:39","03-JUN-2024 15:20:09","00:03:30"
"Virinchi Limited","38.24","61.76","0","-","23-MAY-2024","30-MAY-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188475_1148194_30052024055447_WEB.xml","30-MAY-2024 17:54:48","30-MAY-2024 17:55:08","00:00:20"
"Fineotex Chemical Limited","64.46","35.54","0","-","22-MAY-2024","01-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188477_1151633_01062024025700_WEB.xml","01-JUN-2024 14:57:01","01-JUN-2024 15:00:08","00:03:07"
"Go Digit General Insurance Limited","73.58","26.42","0","-","21-MAY-2024","24-MAY-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188457_1138301_24052024080450_WEB.xml","28-MAY-2024 18:46:56","28-MAY-2024 18:50:08","00:03:12"
"Indiabulls Real Estate Limited","0","99.91","0.09","-","21-MAY-2024","22-MAY-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188449_1134612_22052024094510_WEB.xml","22-MAY-2024 21:45:11","22-MAY-2024 21:50:06","00:04:55"
"Vodafone Idea Limited","38.17","61.83","0","-","21-MAY-2024","29-MAY-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188470_1145566_29052024071503_WEB.xml","29-MAY-2024 19:15:04","29-MAY-2024 19:20:08","00:05:04"
"Mufin Green Finance Limited","54.51","45.49","0","-","21-MAY-2024","03-JUN-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188480_1151937_03062024121300_WEB.xml","03-JUN-2024 12:13:02","03-JUN-2024 12:15:09","00:02:07"
"Thomas Scott (India) Limited","58.8","41.2","0","-","21-MAY-2024","29-MAY-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188469_1144272_29052024040926_WEB.xml","29-MAY-2024 16:09:27","29-MAY-2024 16:10:08","00:00:41"
"W S Industries (I) Limited","58.32","41.68","0","-","21-MAY-2024","30-MAY-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188473_1147464_30052024035046_WEB.xml","30-MAY-2024 15:50:46","30-MAY-2024 15:55:07","00:04:21"
"Servotech Power Systems Limited","59.7","40.3","0","-","18-MAY-2024","30-MAY-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188474_1147853_30052024050132_WEB.xml","30-MAY-2024 17:01:33","30-MAY-2024 17:05:07","00:03:34"
"Vikas EcoTech Limited","10.66","89.34","0","-","18-MAY-2024","20-MAY-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_188445_1130805_20052024070646_WEB.xml","20-MAY-2024 19:06:47","20-MAY-2024 19:10:06","00:03:19"
