"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"117","Ivp Limited","IVP","P&F | F.A","20%","195.75","97,075"
"115","Harrisons  Malayalam Limited","HARRMALAYA","P&F | F.A","18.07%","200.27","573,962"
"95","Premier Polyfilm Limited","PREMIERPOL","P&F | F.A","16.26%","237.59","605,582"
"133","GRM Overseas Ltd","GRMOVER","P&F | F.A","15.44%","170.83","1,299,344"
"162","Mawana Sugars Limited","MAWANASUG","P&F | F.A","12.05%","121.11","3,282,116"
"160","The Andhra Sugars Limited","ANDHRSUGAR","P&F | F.A","11.14%","126.6","8,593,208"
"119","Emkay Global Financial Services Limited","EMKAY","P&F | F.A","10.42%","193.78","191,565"
"33","Zenith Exports Limited","ZENITHEXPO","P&F | F.A","10%","338.11","20,913"
"126","Kriti Industries (India) Ltd","KRITI","P&F | F.A","10%","180.41","1,997,845"
"29","ASK Automotive Ltd","ASKAUTOLTD","P&F | F.A","9.3%","345.95","2,367,251"
"151","Saurashtra Cement Ltd","SAURASHCEM","P&F | F.A","8.56%","145.48","3,006,448"
"37","D.b.corp Limited","DBCORP","P&F | F.A","7.67%","328.6","443,870"
"14","Venus Remedies Limited","VENUSREM","P&F | F.A","7.18%","379.8","478,770"
"106","The Ruby Mills Limited","RUBYMILLS","P&F | F.A","6.27%","218","103,708"
"152","Marine Electricals (India) Ltd","MARINE","P&F | F.A","6.22%","140.39","2,670,674"
"4","Triveni Engineering & Industries Limited","TRIVENI","P&F | F.A","5.74%","393.5","4,526,611"
"1","Usha Martin Limited","USHAMART","P&F | F.A","5.42%","398.75","1,780,314"
"189","Tantia Constructions Ltd","TCLCONS","P&F | F.A","5%","42.85","66,486"
"148","Omax Autos Limited","OMAXAUTO","P&F | F.A","4.99%","147.61","62,365"
"180","Power & Instrumentation (Gujarat) Ltd","PIGL","P&F | F.A","4.99%","85.61","226,322"
"156","Trigyn Technologies Limited","TRIGYN","P&F | F.A","4.91%","128.5","372,329"
"87","Ncl Industries Limited","NCLIND","P&F | F.A","4.86%","245","2,670,268"
"121","Anant Raj Global Ltd","TARC","P&F | F.A","4.86%","186","2,126,807"
"131","Mahindra EPC Irrigation Ltd","MAHEPC","P&F | F.A","4.51%","173.98","863,390"
"21","Geecee Ventures Limited","GEECEE","P&F | F.A","4.46%","365.45","142,926"
"100","DCM Shriram Industries Ltd","DCMSRIND","P&F | F.A","4.37%","231","647,053"
"46","Talbros Automotive Components Limited","TALBROAUTO","P&F | F.A","4.18%","318.75","437,505"
"185","Udayshivakumar Infra Ltd","USK","P&F | F.A","3.63%","72.01","2,462,958"
"51","Time Technoplast Limited","TIMETECHNO","P&F | F.A","3.49%","305.85","2,180,889"
"127","Indian Energy Exchange Ltd","IEX","P&F | F.A","3.45%","179.6","50,773,910"
"116","Shree Pushkar Chemicals & Fertilisers Limited","SHREEPUSHK","P&F | F.A","3.41%","200","151,281"
"30","Seshasayee Paper And Boards Limited","SESHAPAPER","P&F | F.A","3.39%","344.8","103,355"
"186","Lloyds Engineering Works Ltd","LLOYDSENGG","P&F | F.A","3.33%","69.73","12,648,248"
