"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"3","Hitachi Energy India Ltd","POWERINDIA","P&F | F.A","5.17%","11031.5","61,571"
"49","Sky Gold Ltd","SKYGOLD","P&F | F.A","5%","1273.75","22,476"
"133","Simplex Infrastructures Limited","SIMPLEXINF","P&F | F.A","5%","137.8","53,140"
"158","Tantia Constructions Ltd","TCLCONS","P&F | F.A","5%","42.85","66,586"
"166","Sampann Utpadan India Ltd","SAMPANN","P&F | F.A","5%","29","62,474"
"157","Orient Paper & Industries Limited","ORIENTPPR","P&F | F.A","4.72%","50.32","8,172,436"
"108","Talbros Automotive Components Limited","TALBROAUTO","P&F | F.A","4.35%","319.25","441,191"
"171","Vardhman Polytex Limited","VARDMNPOLY","P&F | F.A","3.94%","11.09","414,175"
"29","TCPL Packaging Ltd","TCPLPACK","P&F | F.A","3.82%","2179.85","10,654"
"68","Godrej Industries Limited","GODREJIND","P&F | F.A","3.73%","830","681,540"
"21","Aurionpro Solutions Limited","AURIONPRO","P&F | F.A","3.47%","2637","141,607"
"129","W S Industries (i) Limited","WSI","P&F | F.A","3.05%","145.16","238,000"
"97","Bhartiya International Limited","BIL","P&F | F.A","3.03%","429","3,351"
"38","Cheviot Company Ltd","CHEVIOT","P&F | F.A","2.73%","1559.8","18,089"
"105","The United Nilgiri Tea Estates Company Limited","UNITEDTEA","P&F | F.A","2.7%","356","15,800"
"64","Max Financial Services Limited","MFSL","P&F | F.A","2.54%","989.2","2,195,007"
"14","Timken India Limited","TIMKEN","P&F | F.A","2.33%","4236.8","203,065"
"25","Deepak Nitrite Limited","DEEPAKNTR","P&F | F.A","2.26%","2405","327,335"
"136","Som Distilleries & Breweries Limited","SDBL","P&F | F.A","2.23%","125.74","1,315,221"
"132","Inox Green Energy Services Ltd","INOXGREEN","P&F | F.A","2.08%","140.69","833,944"
"59","Seamec Limited","SEAMECLTD","P&F | F.A","2.04%","1125.05","227,874"
"140","Ester Industries Limited","ESTER","P&F | F.A","1.99%","115.55","108,585"
"48","The Sandesh Limited","SANDESH","P&F | F.A","1.98%","1314","5,621"
"53","ISGEC Heavy Engineering  Ltd","ISGEC","P&F | F.A","1.92%","1243.5","151,706"
"37","Carborundum Universal Limited","CARBORUNIV","P&F | F.A","1.89%","1738","101,303"
"112","Asian Energy Services Ltd","ASIANENE","P&F | F.A","1.88%","284.1","54,937"
"82","Hind Rectifiers Limited","HIRECT","P&F | F.A","1.86%","683","18,305"
"169","Genus Paper & Boards Limited","GENUSPAPER","P&F | F.A","1.79%","21.04","557,438"
"138","Weizmann Limited","WEIZMANIND","P&F | F.A","1.76%","120","9,527"
"45","Garden Reach Shipbuilders & Engineers Ltd","GRSE","P&F | F.A","1.73%","1388.9","849,570"
"50","Lg Balakrishnan & Bros Limited","LGBBROSLTD","P&F | F.A","1.72%","1253.3","23,550"
"155","One Point One Solutions Ltd","ONEPOINT","P&F | F.A","1.71%","56.51","606,874"
"89","Dollar Industries","DOLLAR","P&F | F.A","1.64%","568.7","88,384"
"98","Federal-mogul Goetze (india) Limited.","FMGOETZE","P&F | F.A","1.62%","423.55","122,429"
"2","3m India Limited","3MINDIA","P&F | F.A","1.56%","36800","6,848"
"23","Rolex Rings Ltd","ROLEXRINGS","P&F | F.A","1.51%","2486.8","10,258"
"19","Glaxosmithkline Pharmaceuticals Limited","GLAXO","P&F | F.A","1.48%","2664.4","99,290"
"124","Wanbury Limited","WANBURY","P&F | F.A","1.48%","158","61,760"
